,url,price,locali,superficie,bagni,piano
9208,https://www.immobiliare.it/69845882-Vendita-Trilocale-via-Trasaghis-Roma.html,225000,3,95.0,1.0,2.0
9209,https://www.immobiliare.it/69599958-Vendita-Attico-Mansarda-via-Guglielmo-Guasta-Roma.html,279000,3,98.0,2.0,12.0
9210,https://www.immobiliare.it/68882081-Vendita-Trilocale-via-Galati-Roma.html,275000,3,100.0,2.0,12.0
9211,https://www.immobiliare.it/66147393-Vendita-Quadrilocale-via-Lezzeno-Roma.html,225000,4,100.0,2.0,0.5
9212,https://www.immobiliare.it/68411605-Vendita-Trilocale-via-Casal-dei-pazzi-20-Roma.html,279000,3,105.0,2.0,5.0
9213,https://www.immobiliare.it/60793094-Vendita-Bilocale-viale-Vaticano-53-Roma.html,369000,2,60.0,1.0,1.0
9214,https://www.immobiliare.it/70036412-Vendita-Trilocale-via-g-b-riccioli-0-Roma.html,149000,3,80.0,1.0,3.0
9215,https://www.immobiliare.it/65505424-Vendita-Appartamento-via-Zandonai-83-Roma.html,1950000,6,300.0,3.5,0.0
9216,https://www.immobiliare.it/64630426-Vendita-Trilocale-via-dei-Gonzaga-Roma.html,380000,3,120.0,2.0,1.0
9217,https://www.immobiliare.it/69003053-Vendita-Trilocale-via-delle-Canarie-Roma.html,190000,3,101.0,1.0,1.0
9218,https://www.immobiliare.it/67161411-Vendita-Trilocale-via-Virgilio-Talli-Roma.html,249000,3,90.0,2.0,4.0
9219,https://www.immobiliare.it/69722362-Vendita-Appartamento-via-Flaminia-695-Roma.html,720000,5,213.0,3.0,1.0
9220,https://www.immobiliare.it/58246908-Vendita-Trilocale-via-del-Forte-Boccea-Roma.html,215000,3,75.0,1.0,4.0
9221,https://www.immobiliare.it/67575273-Vendita-Appartamento-via-Cornelia-Roma.html,165000,5,100.0,2.0,0.0
9222,https://www.immobiliare.it/68838713-Vendita-Quadrilocale-via-Ugo-De-Carolis-Roma.html,395000,4,120.0,2.0,4.0
9223,https://www.immobiliare.it/67785119-Vendita-Trilocale-via-Cremona-Roma.html,650000,3,85.0,1.0,7.0
9224,https://www.immobiliare.it/67621311-Vendita-Trilocale-via-Santa-gemma-Roma.html,230000,3,70.0,2.0,0.0
9225,https://www.immobiliare.it/68083431-Vendita-Trilocale-via-Palmoli-10-Roma.html,137000,3,70.0,1.0,12.0
9226,https://www.immobiliare.it/65740901-Vendita-Attico-Mansarda-via-Alenda-98-Roma.html,219000,3,105.0,2.0,3.0
9227,https://www.immobiliare.it/70114074-Vendita-Appartamento-viale-Parioli-Roma.html,1200000,5,200.0,2.0,4.0
9228,https://www.immobiliare.it/69720602-Vendita-Trilocale-via-Di-Boccea-635-Roma.html,219000,3,85.0,2.0,1.0
9229,https://www.immobiliare.it/69521878-Vendita-Trilocale-via-degli-Olmi-Roma.html,149000,3,75.0,1.0,2.0
9230,https://www.immobiliare.it/69345394-Vendita-Monolocale-via-lampariello-Roma.html,125000,1,43.0,1.0,1.0
9231,https://www.immobiliare.it/61681898-Vendita-Trilocale-via-Trionfale-8266-8270-Roma.html,219000,3,67.0,1.0,1.0
9232,https://www.immobiliare.it/51924363-Vendita-Appartamento-via-via-Giovanni-Battista-Roma.html,3000000,6,300.0,3.5,12.0
9233,https://www.immobiliare.it/70367106-Vendita-Bilocale-via-Camilla-52-Roma.html,229000,2,62.0,1.0,2.0
9234,https://www.immobiliare.it/69864420-Vendita-Bilocale-via-Carlo-della-Rocca-Roma.html,149000,2,70.0,1.0,7.0
9235,https://www.immobiliare.it/69276432-Vendita-Trilocale-via-gerolamo-cardano-Roma.html,230000,3,95.0,1.0,0.0
9236,https://www.immobiliare.it/69001639-Vendita-Trilocale-via-luigi-arnaldo-vassallo-Roma.html,258000,3,85.0,1.0,4.0
9237,https://www.immobiliare.it/58526666-Vendita-Trilocale-via-Antonio-Magarotto-Roma.html,185000,3,65.0,1.0,1.0
9238,https://www.immobiliare.it/69754310-Vendita-Trilocale-via-Cassia-1042-Roma.html,282000,3,70.0,1.0,2.0
9239,https://www.immobiliare.it/69501070-Vendita-Bilocale-via-Andrea-Cascella-Roma.html,298000,2,77.0,2.0,0.0
9240,https://www.immobiliare.it/65821843-Vendita-Quadrilocale-via-Portuense-499-Roma.html,249000,4,88.0,2.0,2.0
9241,https://www.immobiliare.it/68605901-Vendita-Bilocale-via-Erminio-Macario-Roma.html,168000,2,55.0,1.0,2.0
9242,https://www.immobiliare.it/67309615-Vendita-Monolocale-viale-Ezra-Pound-Roma.html,219000,1,46.0,1.0,5.0
9243,https://www.immobiliare.it/66003091-Vendita-Attico-Mansarda-piazza-Vincenzo-Ceresi-Roma.html,649000,4,200.0,3.0,12.0
9244,https://www.immobiliare.it/51491487-Vendita-Trilocale-via-Amsterdam-Roma.html,350000,3,124.0,2.0,2.0
9245,https://www.immobiliare.it/70133760-Vendita-Loft-Open-Space-via-DELLA-PURIFICAZIONE-Roma.html,169000,1,20.0,1.0,0.0
9246,https://www.immobiliare.it/69932288-Vendita-Trilocale-via-Cina-451-Roma.html,549000,3,120.0,2.0,12.0
9247,https://www.immobiliare.it/69061174-Vendita-Bilocale-via-dei-Prati-della-Farnesina-Roma.html,295000,2,55.0,1.0,0.0
9248,https://www.immobiliare.it/69692612-Vendita-Trilocale-via-cortina-d-ampezzo-Roma.html,249000,3,90.0,1.0,12.0
9249,https://www.immobiliare.it/68515963-Vendita-Trilocale-via-Ruggero-di-Lauria-Roma.html,470000,3,110.0,1.0,5.0
9250,https://www.immobiliare.it/67935945-Vendita-Bilocale-via-Tiburtina-545-Roma.html,117000,2,40.0,1.0,-1.0
9251,https://www.immobiliare.it/64546092-Vendita-Trilocale-via-Nerviano-Roma.html,159000,3,85.0,1.0,12.0
9252,https://www.immobiliare.it/70383298-Vendita-Bilocale-via-Ugo-Pizzarello-Roma.html,210000,2,90.0,1.0,12.0
9253,https://www.immobiliare.it/69798736-Vendita-Bilocale-via-delle-benedettine-Roma.html,160000,2,37.0,1.0,0.0
9254,https://www.immobiliare.it/69012583-Vendita-Quadrilocale-viale-Inigo-Campioni-Roma.html,349000,4,100.0,1.0,2.0
9255,https://www.immobiliare.it/58998726-Vendita-Quadrilocale-via-Monte-del-Gallo-Roma.html,520000,4,120.0,2.0,4.0
9256,https://www.immobiliare.it/69920134-Vendita-Bilocale-viale-della-Pineta-di-Ostia-Roma.html,101000,2,60.0,1.0,0.0
9257,https://www.immobiliare.it/69754382-Vendita-Trilocale-via-Cassia-Roma.html,400000,3,106.0,2.0,2.0
9258,https://www.immobiliare.it/66294255-Vendita-Bilocale-via-Nicola-Cappelli-Roma.html,139000,2,50.0,1.0,1.0
9259,https://www.immobiliare.it/59730586-Vendita-Bilocale-via-Tuscolana-Roma.html,180000,2,65.0,1.0,4.0
9260,https://www.immobiliare.it/70179608-Vendita-Monolocale-via-Alberto-da-Giussano-Roma.html,145000,1,50.0,1.0,1.0
9261,https://www.immobiliare.it/70055956-Vendita-Quadrilocale-via-della-mendola-Roma.html,750000,4,125.0,3.0,1.0
9262,https://www.immobiliare.it/68237487-Vendita-Appartamento-via-Virgilio-Paladini-Roma.html,429000,5,120.0,2.0,0.0
9263,https://www.immobiliare.it/64436974-Vendita-Appartamento-via-veientana-Roma.html,490000,6,165.0,2.0,3.0
9264,https://www.immobiliare.it/62668818-Vendita-Bilocale-via-GAETANO-MAZZONI-Roma.html,209000,2,65.0,1.0,2.0
9265,https://www.immobiliare.it/70363712-Vendita-Appartamento-via-di-San-Valentino-Roma.html,1350000,6,240.0,3.0,1.0
9266,https://www.immobiliare.it/69754194-Vendita-Trilocale-via-Cassia-1042-Roma.html,318000,3,82.0,2.0,1.0
9267,https://www.immobiliare.it/69754108-Vendita-Trilocale-via-Cassia-1042-Roma.html,316000,3,82.0,2.0,1.0
9268,https://www.immobiliare.it/66919733-Vendita-Monolocale-via-Augusto-Camerini-Roma.html,179000,1,45.0,1.0,3.0
